"Model","Residual df","Number parameters","AICc","Delta AIC","Likelihood","AIC weight"
"spider treatment + spider active + spider lived",79,4,88,0,1,0.31
"spider treatment + spider active",80,3,88.92,0.92,0.63,0.2
"spider active + spider lived",80,3,88.94,0.94,0.62,0.19
"Met52 + spider treatment + spider active + spider lived",78,5,90.2,2.2,0.33,0.1
"Met52 + spider treatment + spider active",79,4,90.55,2.55,0.28,0.09
"spider active",81,2,92.98,4.98,0.08,0.03
"Null (intercept)",82,1,93.22,5.22,0.07,0.02
"spider treatment",81,2,93.64,5.64,0.06,0.02
"Met52 + spider active",80,3,95.01,7.01,0.03,0.01
"Met52",81,2,95.37,7.37,0.03,0.01
"Met52 + spider treatment",80,3,95.84,7.84,0.02,0.01
"spider survive",80,3,95.85,7.85,0.02,0.01
"spider treatment + spider lived",80,3,95.85,7.85,0.02,0.01
"Met52 + spider lived",80,3,97.04,9.04,0.01,0
"Met52 + spider treatment + spider lived",79,4,98.1,10.1,0.01,0
