Site,Predator,Litter,Ixodes
Bacon,PredRef,LitRef,13
Bacon,PredRef,LitRef,9
Bacon,PredRef,LitRef,5
Bacon,PredRef,LitRef,14
Bacon,PredRef,LitRef,12
Bacon,PredRef,LitRef,15
Bacon,PredRef,LitRef,15
Bacon,PredRef,LitRef,12
Bacon,PredRef,LitRef,15
Bacon,PredRef,LitRef,14
Field,PredRef,LitRef,13
Field,PredRef,LitRef,14
Field,PredRef,LitRef,10
Field,PredRef,LitRef,7
Field,PredRef,LitRef,11
Field,PredRef,LitRef,8
Field,PredRef,LitRef,12
Field,PredRef,LitRef,15
Field,PredRef,LitRef,6
Rearing,PredRef,LitRef,12
Rearing,PredRef,LitRef,14
Rearing,PredRef,LitRef,11
Rearing,PredRef,LitRef,11
Rearing,PredRef,LitRef,8
Rearing,PredRef,LitRef,15
Rearing,PredRef,LitRef,15
Rearing,PredRef,LitRef,10
Rearing,PredRef,LitRef,12
Rearing,PredRef,LitRef,7
Bacon,PredRef,Removal,9
Bacon,PredRef,Removal,11
Bacon,PredRef,Removal,10
Bacon,PredRef,Removal,12
Bacon,PredRef,Removal,9
Bacon,PredRef,Removal,10
Bacon,PredRef,Removal,10
Bacon,PredRef,Removal,10
Bacon,PredRef,Removal,12
Bacon,PredRef,Removal,11
Field,PredRef,Removal,10
Field,PredRef,Removal,8
Field,PredRef,Removal,3
Field,PredRef,Removal,7
Field,PredRef,Removal,12
Field,PredRef,Removal,13
Field,PredRef,Removal,9
Field,PredRef,Removal,9
Field,PredRef,Removal,10
Field,PredRef,Removal,10
Rearing,PredRef,Removal,14
Rearing,PredRef,Removal,14
Rearing,PredRef,Removal,13
Rearing,PredRef,Removal,10
Rearing,PredRef,Removal,10
Rearing,PredRef,Removal,14
Rearing,PredRef,Removal,11
Rearing,PredRef,Removal,9
Rearing,PredRef,Removal,13
Rearing,PredRef,Removal,14
Bacon,Addition,LitRef,13
Bacon,Addition,LitRef,1
Bacon,Addition,LitRef,5
Bacon,Addition,LitRef,2
Bacon,Addition,LitRef,7
Bacon,Addition,LitRef,0
Bacon,Addition,LitRef,6
Bacon,Addition,LitRef,10
Bacon,Addition,LitRef,10
Bacon,Addition,LitRef,8
Bacon,Addition,LitRef,10
Field,Addition,LitRef,7
Field,Addition,LitRef,7
Field,Addition,LitRef,5
Field,Addition,LitRef,4
Field,Addition,LitRef,4
Field,Addition,LitRef,7
Field,Addition,LitRef,1
Field,Addition,LitRef,9
Field,Addition,LitRef,6
Field,Addition,LitRef,3
Rearing,Addition,LitRef,10
Rearing,Addition,LitRef,11
Rearing,Addition,LitRef,7
Rearing,Addition,LitRef,9
Rearing,Addition,LitRef,7
Rearing,Addition,LitRef,13
Rearing,Addition,LitRef,5
Rearing,Addition,LitRef,6
Rearing,Addition,LitRef,7
Bacon,Addition,Removal,13
Bacon,Addition,Removal,2
Bacon,Addition,Removal,6
Bacon,Addition,Removal,5
Bacon,Addition,Removal,8
Bacon,Addition,Removal,12
Bacon,Addition,Removal,10
Bacon,Addition,Removal,7
Bacon,Addition,Removal,7
Field,Addition,Removal,13
Field,Addition,Removal,8
Field,Addition,Removal,5
Field,Addition,Removal,3
Field,Addition,Removal,8
Field,Addition,Removal,3
Field,Addition,Removal,0
Field,Addition,Removal,1
Field,Addition,Removal,11
Field,Addition,Removal,2
Rearing,Addition,Removal,11
Rearing,Addition,Removal,7
Rearing,Addition,Removal,1
Rearing,Addition,Removal,8
Rearing,Addition,Removal,15
Rearing,Addition,Removal,3
Rearing,Addition,Removal,2
Rearing,Addition,Removal,3
Rearing,Addition,Removal,10
Rearing,Addition,Removal,8
