Obs_ID,Core_color,Date,Core ID,Bag check,Time,1,2,3,4,5,Ticks on outside of bag,Live spider,spider.seen.dead,Spider status,Spider on outside of bag,juveniles_observed
1,,7/31,30,,15:45,,1,,2,,0,0,,,,
2,,7/31,31,,15:30,,4,,5,,0,1,,,,
3,,7/31,32,,15:45,,1,,4,,0,0,,,,
4,,7/31,33,,,,0,,1,,0,0,,,,
5,,7/31,34,,,,3,,3,,0,0,,,,
6,,7/31,35,,,,0,,1,,0,0,,,,
7,,7/31,36,,,,2,,2,,0,0,,,,
8,,7/31,37,,,,1,,1,,0,0,,,,
9,,7/31,38,,,,0,,0,,0,0,,,,
10,,7/31,39,,,,5,,6,,0,0,,,,
11,,7/31,40,,,,2,,4,,1,0,,,,
12,,7/31,41,,,,3,,4,,0,0,,,,
13,,7/31,42,,,,0,,0,,0,1,,,,
14,,7/31,43,,,,0,,1,,0,0,,,,
15,,7/31,44,,,,7,,7,,0,0,,,,
16,,7/31,45,,,,3,,4,,0,0,,,,
17,,7/31,46,,,,0,,0,,1,1,,,,
18,,7/31,47,,,,0,,0,,0,0,,,,
19,,7/31,48,,,,3,,1,,0,0,,,,
20,,7/31,49,,,,0,,0,,0,0,,,,
21,,7/31,1,,,,2,,2,,0,1,,,,
22,,7/31,2,,,,0,,1,,0,0,,,,
23,,7/31,3,,,,6,,3,,0,0,,,,
24,,7/31,4,,,,7,,8,,0,0,,,,
25,,7/31,5,,,,0,,0,,0,0,,,,
26,,7/31,6,,,,2,,1,,0,1,,,,
27,,7/31,7,,,,2,,4,,0,0,,,,
28,,7/31,8,,,,0,,0,,0,0,,,,
29,,7/31,9,,,,2,,2,,1,0,,,,
30,,7/31,10,,,,1,,1,,0,0,,,,
31,,7/31,11,,,,1,,3,,0,0,,,,
32,,7/31,12,,,,1,,2,,1,0,,,,
33,,7/31,13,,,,0,,0,,0,0,,,,
34,,7/31,14,,,,0,,1,,0,0,,,,
35,,7/31,15,,,,4,,3,,0,0,,,,
36,,7/31,16,,,,0,,0,,0,0,,,,
37,,7/31,17,,,,4,,5,,0,0,,,,
38,,7/31,18,,,,2,,1,,0,0,,,,
39,,7/31,19,,,,0,,0,,0,0,,,,
40,,7/31,20,,,,2,,2,,0,1,,,,
41,,7/31,21,,,,5,,5,,0,0,,,,
42,,7/31,22,,,,1,,1,,1,0,,,,
43,,7/31,23,,,,2,,3,,0,0,,,,
44,,7/31,24,,,,3,,6,,0,0,,,,
45,,7/31,25,,,,4,,5,,0,0,,,,
46,,7/31,26,,,,0,,4,,0,0,,,,
47,,7/31,27,,,,1,,4,,0,1,,,,
48,,7/31,28,,,,1,,2,,0,0,,,,
49,,7/31,29,,,,0,,0,,0,0,,,,
50,,7/31,94,,,,0,,0,,0,0,,,,
51,,7/31,95,,,,1,,2,,0,1,,,,
52,,7/31,96,,,,0,,0,,1,0,,,,
53,,8/1,1,,,,,,,,NA,1,,,,
54,,8/1,6,,,,,,,,NA,1,,,,
55,,8/1,11,,,,,,,,NA,1,,,,
