Core ID,Experiment.title,Treatment.Met52,Treat.met52.title,Treat.spider.title,Treatment.Spider,Bag check,Flag color,Flag labeled,Date core in,PVC labeled,Zone,Row,Date sprayed,offset.days,core.removed.planned,core.removed.date,core.sorted.date,time.tot,Time sprayed,Bag sprayed,Flat nymphs,Flat date,Fed nymphs,Fed date,Fed ID,Spider,Spider date,Spider eggs,Core sprayed,Twist tie,Rubber band,Zip tie,Spider present 7/26,Notes,Nymphs.flat.recovered,Nymphs.engorged.recovered,Larvae.recovered,Live.spider,non.s.ocreata.spider.0.5.cm,Spider.eggs,Spiderlings.present,non.s.ocreata.1.cm,Spider.juveniles.present,Adult.male.recovered,Adult.female.recovered,Berlese.flat.nymphs.recovered,cent.0.5.cm.over,cent.over.1.cm,beetle.over.0.5.cm,beetle.over.1.cm,Berlese.adult.s.ocreata.recovered,Berlese.juve.s.ocreata,Berlese.adult.scapularis.recovered,Berlese.adult.male.scapularis.recovered,Berlese.adult.female.scapularis.recovered
1,Tritrophic.2017,0,Met52_0,spider_1,1,0,Y,,,,A,1,7/21,-2,8/9,,,19,,y,15,6/16,2,,,y,,1,,,,,1,,6,0,0,1,,0,1,,,,,0,,,,,,,,,
2,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/23,-2,8/11,,,19,,,15,6/21,2,,,y,,0,,,,,1,,0,0,,1,,0,,,,,,0,,,,,,,,,
3,Tritrophic.2017,0,Met52_0,spider_0,0,,W,,,,,,7/21,-2,8/9,,,19,,,15,,2,,,n,,-1,,,,,,,11,1,0,-1,,0,0,,,,,1,,,3,,,,,,
4,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/23,-2,8/11,,,19,,,15,,2,,,n,,-1,,,,,,,9,0,,-1,,0,0,,0,,,0,,,,,,,,,
5,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/23,-2,8/11,,,19,,,15,,2,,,n,,-1,,,,,,,7,0,,-1,,0,0,,,,,0,,,,,,,,,
6,Tritrophic.2017,0,Met52_0,spider_1,1,,Y,,,,,,7/21,-2,8/9,,,19,,,15,,2,,,y,,1,,,,,1,,3,0,0,1,,0,1,,,,,0,,,1,,,,,,
7,Tritrophic.2017,0,Met52_0,spider_0,0,,W,,,,,,7/21,-2,8/9,,,19,,,15,,2,,,n,,-1,,,,,,,10,0,0,-1,,0,0,,,,,0,,,,,,,,,
8,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/23,-2,8/11,,,19,,,15,,2,,,y,,1,,,,,0,,10,1,,0,,0,0,,0,,,0,,,,,,,,,
9,Tritrophic.2017,1,Met52_1,spider_1,1,,R,,,,,,7/23,-2,8/11,,,19,,,15,,2,,,y,,0,,,,,0,,6,0,,0,,0,0,,0,,,0,,1,,,,,,,
10,Tritrophic.2017,1,Met52_1,spider_0,0,,B,,,,,,7/23,-2,8/11,,,19,,,15,,2,,,n,,-1,,,,,,,9,0,,-1,,0,0,,0,,,0,,,,,,,,,
